addr,name,comment
0x39FCA,diag_knock_circuit,"DIAGNOSTIC: knock-control-circuit diag (CDKK*) -> word_FD06/FD08"
0x39F24,diag_knock_circuit_init,"DIAGNOSTIC: knock-control diag init/reset"
0x9A034,diag_rationality_monitor,"DIAGNOSTIC: sensor/model rationality monitor -> FD34/FD36 DTC"
0xA0000,diag_misfire_monitor,"DIAGNOSTIC: running-roughness / misfire detection (Laufunruhe) -> FDAE/FDB0/FDB2"
0x09A52,diag_codeword_expand_init,"DIAGNOSTIC-CONFIG: expands ~40 cal codewords (KAMFZ/CD*/CW* band 0x18000-0x1802D + 0x12600/03/05) into RAM enable flags word_3018D6/D8, byte_301220-22, word_FD00/FD02 bits [C]; init path (sole caller sub_A082)"
0xC7EEA,etc_stop_learn_adapt,"ADAPTATION: motor-servo pot stop-learn state machine (byte_301779 states 0-0xB) [C mechanism / I identity=electronic throttle]: learns pot low/high stops word_302CB2/word_303C4C (12-bit clamp) + 2-point gain/slope test vs 0x16Fxx cals, persists via EEPROM helpers sub_386F2/sub_38ECE, outputs linearizer offset word_302CB4 + bound word_302CC4; fail -> code byte_301775 (0x14/0x18-0x1E) + defaults 16F1A/16F30/16EFA via sub_C891C"
0x5637C,can_rx_signal_unpack,"COMMS: RX signal-unpack task [C]: polls (flag-ptr,mask) pairs in cal 0x11A32-0x11AE8, extracts signals via descriptor readers sub_E3A86/sub_E3ACE (word signals get -0x200 offset) into byte_301427-48 / word_302580-25AA mirrors, clears flags, publishes word_30256A/6C/6E + word_FD26.11/.12/.14; calls two cal-held far code ptrs 0x11B42/0x11B92 via push-rets trampoline sub_8E52"
0xBEEDC,diag_monitor_enable_table_init,"DIAGNOSTIC-CONFIG: builds per-monitor enable table word_30BE38+8k (page 0xC2) from the codeword flags of diag_codeword_expand_init (word_3018D6/D8, byte_301220) [C]; walks per-monitor cal tables 0x1B8E3 (1 B/monitor) + 0x1B8F1 (3 B/monitor)"
0x3FF30,hfm_adc_latch,"latch raw HFM ADC channel: loc_F2DE = loc_F2DC & 0x3FF (10-bit; peer of sub_3FF58 pot latch) [C]"
0x7633C,hfm_sample_linearize,"per-sample HFM linearization: MAF curve 0x160E8 (128-pt word, /8 interp; overflow substitute word_161E8) on loc_F2DE -> loc_F382, accumulates sum loc_F37A:F37C + count loc_F37E [C]"
0x7628C,hfm_average_kfkhfm,"drains HFM accumulator atomically -> mean air mass loc_F384/loc_F386 (divl); x KFKHFM factor word_3028A8 -> loc_F380, >=0 clamp -> word_F388, MLMIN 0x160E6 floor -> word_3028AA [C]"
0x7638E,hfm_kfkhfm_lookup,"KFKHFM 0x138A5 byte map (rpm-class byte_F40E x load byte_F473, via sub_40CA4) -> correction factor word_3028A8 (<<8) [C]"
0x76A68,diag_hfm_plausibility,"DIAGNOSTIC: HFM plausibility window: KFMLDMX 0x16208 (Throttle#=loc_F45E via word_3028AC, RPM=byte_F40E) xFMLDMXKO clamp MLDHFMKO -> upper bound; ml_hfm loc_F384 vs MLDHFMKU 0x2188A + window word_305138/word_305136 (filter ZMLRO 0x13986) -> fault bits word_FD3C.3-.7 [C]"
0x76462,diag_hfm_bounds_status,"DIAGNOSTIC: HFM diag manager: KFMLDMN 0x217F6 (rpm-class x throttle pos loc_F45E) -> lower bound word_305136 (0x76706); threshold band 0x21886-0x21894; packs status via sub_B31AC [C for bound; overall role partial]"
0xC5F2C,diag_input_monitor_bank,"DIAGNOSTIC: debounced monitor bank (1st slot of sub_B81C chain): CAN-mirror status (byte_301437 state 0/1/3, byte_301443 hysteresis 0x14576/77, word_30256C.12) + ADC byte byte_3014D2 (=word_301934>>2; min/max 0x1458B/88/89, stuck-check 0x1457C, slow baseline word_303C3E via sub_42CF4 gain 0x16EAC, deviation byte_30175A) -> monitor-mask flags word_FD64.11/.12 (gate misfire sub_A0000 + knock-diag sub_39FCA) and word_FD66.2/.5 (idle gov sub_7D58E / torque coord sub_4D86C) + one-shot fault bytes byte_301767-6F [C mechanism; monitored module identity I]"
0xC6410,diag_monitor_status_report,"DIAGNOSTIC: consumes+clears the one-shot monitor bytes byte_301767-6F of diag_input_monitor_bank -> state bits word_FD64.4 / word_FD66.8/.9, packs status to CAN via sub_B31AC x2 (0xC660E/0xC661C) [C]"
0xC9F44,diag_setpoint_follow_monitor,"DIAGNOSTIC: deviation supervision: reference word_3029C6 (from sub_8A834, zeroed on fault) vs slew-follower word_302CF8 (sub_CA5C6, rate cal word_26B4E) in both directions (cals 0x16F5A/5C, debounce counts 0x16F5E/60) + ADC word_30196E cross-check (thresholds 0x16F52/54 split at word_16F62); enable window rpm-class byte_F40E in [0x14744,0x14743] + byte_3014DD in [0x14742,0x14741], masked by word_FD64.12; -> status bytes byte_300C06/13/14, byte_301794, flags loc_FD70.13-.15 / loc_FD72.0-.1 [C mechanism; supervised quantity identity I]"
0xA7D34,diag_obd_param_seed_init,"DIAGNOSTIC-CONFIG: copies OBD scalar band 0x2418E-0x241B4 into RAM mirrors word_305386-word_3053B2; builds monitor bitmasks from cal bit-indexes byte_1A18C/1A18F/1A191 -> word_305398/word_30539C; edge-detects status transitions (byte_300A04/05, byte_3009F4/F5, byte_300A08-0B); gates on NV word_30A252 & mask word_241A6 + CDDST flag word_3018D8.2 -> byte_301714.2 [C]"
0xC677A,servo_position_loop,"throttle-servo PD position loop: error = setpoint loc_F446 - feedback loc_F45E, deadband cals 0x16EB2-0x16EB8, P+D -> direction bit word_FD68.3 + port word_FFD0, PWM duty loc_F440 -> word_FE34 (period 9999) (etc-throttle.md 2) [C]"
0x5369C,torque_reserve_request,"CONTROL: torque-reserve (MDRES-type) builder, sub_B81C slot: idle reserve MRESLL 0x18637<<6 (ramp byte_1854D, timer TVRESLL 0x1EFD0, gates CWLLDE 0x1854C.0 / DNLLRESW 0x1EFC2 vs word_3024F8 / vfzg_class byte_3015D8 vs LIVFZDE 0x18632) + cat-heat/warmup reserve from KFMRES byte-map bank 0x18551/69/81/99/B1/C9/E1 (2-D via sub_4210C, axes word_30197E/word_301990) capped MRESKH 0x1EFCC when word_FD46.9 + components word_3024DC (map 0x18608) / word_3024D4 (byte_18638) with per-component ramp-downs -> final min vs map 0x185FE(word_3019F0) -> word_3024D6 [C mechanism; MDRES identity I]"
0x56E00,can_rx_msg_handler_bank,"COMMS: 2nd half of can_rx_signal_unpack (sub_5637C 0x56982): jump-table handler bank (index<=0x62, table 0xC1E2, 0x56E04/0x56E16) - each case polls a cal-held (flag-ptr,mask) pair 0x11A50-0x11B0C, extracts via descriptor readers sub_E3A86/sub_E3ACE/sub_E3B34/sub_E40DE into byte_3014xx/word_3025xx mirrors, clears the flag; msg-timeout counter byte_30143D vs byte_13803; codeword byte_137FF; handshake bits via ptrs word_11B0C/word_11B5C [C]"
0xCA5C6,cruise_speed_governor,"CONTROL: cruise-control-type vehicle-speed governor (sub_B81C chain, caller 0xCA4B8-region): state machine byte_300C1E 0..6 (jump table 0xD33E) off switch-edge bits word_FD0A.7-.10 (from debounce 0x3B4A2) -> set-speed word_302CF8 slewed at word_26B4E toward vfzg word_3029C6, clamp [word_300C3A,word_300C38], engage bands word_26B24/word_26B50; speed-corr word_302CD6 (maps 0x26A7A/0x26B02 keyed vfzg, bands word_26B54/56/58); PI: gain map 0x26BE0 keyed set-speed (sub_41A68), ramp sub_42486 (word_26BAE, tbls 0x26BB0/0x26BC0), integrator sub_430DA state word_300C3E:40, 2-D map sub_43430 (z 0x6F6C-rel) -> torque request word_302CE4 (zero below word_26B7A) -> sub_CB61C region; supervised by diag_setpoint_follow_monitor [C mechanism; cruise/FGR identity I - no dict token]"
0xC983A,diag_throttle_angle_from_charge,"DIAGNOSTIC: expected-throttle-angle-from-charge monitor (0x0B722 slot): expected wdk byte_301791 = min(2-D map 0x1465E(rpm-class byte_F40E x charge byte_30178C), cap tbl 0x14724); two PT1 banks byte_30178E/byte_301790 (sub_42CF4, rate tbl 0x1470B); pot window byte_30177F<<4 +/- word_16F50 vs word_301952 -> word_FD6E.14; majority-vote deviation above min-rpm byte_14709 ('Minimum engine speed for calculation of throttle angle default value from charge', dict-exact) with time cal TDKPAW 0x1470A -> fault bits loc_FD70.3/.4, word_FD6E.3/.4/.8/.9/.10, word_FD6C.15 [C]"
0xE018C,diag_status_frame_init,"DIAGNOSTIC-CONFIG: initializes the diagnostic status/ID frame RAM block word_300404-word_3004D8 from 27 config-word+mask pairs 0x2C52A-0x2C580 (pattern: val AND mask, merged with (~mask & literal); e.g. 0xE01A4 and r4,word_2C566; 0xE0234/0x2C55E), plus literal seeds (#5Fh,#3Bh,#888h,#434Ah,'o','n'); block is consumed by the 0xE1xxx frame packer (sub_E134E copies loc_F7B6/C6/C8.. into CAN mirror byte_305780-79D); sole caller sub_642C2 when word_300404!=0x3FD0; ends 0xE05F0 or r2,#0Ch -> loc_F5E6 [C mechanism; frame identity I]"
0x922B8,diag_egt_status_monitor,"DIAGNOSTIC: debounced EGT/exhaust status monitor bank (13x debounce sub_32E88, packs status via sub_B31AC x2); reads EXA*/EFF* exhaust-diag cals EXAAAA 0x19F1b/EXAFRAO 0x19F2f/EFFZET8 0x19F11/EFFZZZ 0x19F16 (0x19F10-0x19F37) + 0x23B14-0x23B1A; e.g. 0x92356 cmpb rl4,byte_19F26; 0x92368 movbz r14,byte_19F27 (debounce delta); sets status bytes byte_30084C/54/6C/78/7A/7C + flag bank byte_301624/625; NO actuator/port write (verified: 0 word_FExx/FFxx writes) [C mechanism; EGT/exhaust identity I - EXA* shared with egt_sensor_model]"
0x6C6DA,diag_o2_sensor_status_pack,"DIAGNOSTIC: O2/lambda-sensor diagnostic status packer, gated by codeword byte_301220.1 (CDSLS); 34x debounce sub_32E88 + 12x CAN-pack sub_B31AC of status words word_303B70/74/64 (e.g. 0x6C73A calls sub_B31AC with tag #75h); reads threshold band 0x210CA-0x21104 incl. MSDRKAT 0x210cc/MSDRKAT2 0x210ec (0x6D454 cmp r8,MSDRKAT) + NDLDRAPU 0x18a78 + 0x1FFF6/0x1FFFA; adjacent dict FLAMPFT/FLAMPMR/Nernst-cell-temp confirm lambda/exhaust; no actuator write [C mechanism; O2/lambda identity I]"
0x9D894,diag_evap_purge_monitor,"DIAGNOSTIC: EVAP purge-system monitor; gated by codeword word_3018D6.1 + word_FD02.9; reads purge quantity word_3052A8 (produced by evap_purge_ctrl 0x8DE10, writer 0x8DE8E) at 0x9DBCA, divlu-normalizes -> word_30535A, PT1-filters via sub_43904 (e.g. 0x9DC42) into page-C2 EVAP RAM byte_30A0E2/word_30A20A; reads EXBLASH2 0x1a06f (0x9E4D2), byte_1A06D/1A06E; status flag banks byte_30169C-3016A8; packs via sub_B31AC; no actuator write [C mechanism; EVAP-system identity I]"
0xAAC4E,diag_obd_monitor_cddst,"DIAGNOSTIC: CDDST-gated OBD monitor (reader of cluster 0x23FC8-0x24016); gated by word_3018D8.2=CDDST (0xAAC5A mov r4,word_3018D8; and #4); edge-tracks byte_303331/303332, debounces via sub_32EF0/32FC4/32F5C + one PT1 sub_43904, packs status via sub_B31AC; reads threshold scalars word_23FD4-0x23FE8 (0xAAED8 cmp r4,word_23FD4) via mov/cmp + byte config byte_1A1A2-8 (near INHASE06); status flags byte_30171B/71C [C mechanism; exact monitor identity I]"
0xC253E,diag_adc_range_monitor,"DIAGNOSTIC: ADC/sensor range-window plausibility monitor; reads min/max window word-pairs 0x26A50-0x26A68 (cfg_26A50_etc_adc_windows) vs page-C1 ADC cells + byte config 0x1B92A-0x1B949, 1-D byte lookup sub_419F4 + PT1 sub_43904; sets range-fault flags word_FD60.8-.11 + word_FD62.3-.6 (0xC26C8 bset word_FD60.8; 0xC2684 bset word_FD60.10); packs via sub_B31AC; no actuator/setpoint write [C mechanism; monitored-channel identity I]"
0xD777A,diag_boost_status_monitor,"DIAGNOSTIC: boost/charge status monitor + CAN packer (3x sub_B31AC); gated word_FD04.7/word_FD7A.15/word_FD7E.2; reads word thresholds 0x27DEE-0x27DFA via mov/cmp (0xD785C cmp r7,word_27DF2; 0xD7EB0 cmp r6,word_27DEE) + byte config 0x1BAA8-0x1BABB; sets status bits word_FD7E.2-.5 + byte_304DDF; no actuator/setpoint write [C mechanism; monitor identity I]"
0xD8DCA,diag_boost_limit_monitor,"DIAGNOSTIC: boost/limit status monitor; 1-D byte lookups sub_419F4 (0xD8DE4/0xD8E0A/0xD8EBA) + sub_41BD4/sub_42D2C; reads byte tables 0x1BAC2-0x1BB50 + word 0x27EA8-0x27EB0; sets status/flag bytes byte_300E28/2C/2D + byte_301852 + word_FD7E.7, gated word_FD3C.9/FD6C.15/FD1C.13; packs via sub_B31AC x2; no actuator/setpoint write [C mechanism; monitor identity I]"
0x9B534,diag_rationality_monitor_b,"DIAGNOSTIC: sensor/model rationality-monitor channel (cluster with diag_rationality_monitor sub_9A034 + sub_99414, ALGORITHM.md): builds a modelled quantity via PT1 sub_42CF4 + clamped integrator sub_430DA, windows it vs scalar thresholds (byte band 0x1A054-0x1A05F incl EXBLASH 0x1A05B; word band 0x23F84-0x23FA2 at 0x9BEF6 mov r6,word_23F84 - both mov/cmp not maps) -> state/status bytes byte_30167E/7F/301684, byte_304994/95, page-C2 byte_30A0ED/30A038, model words word_302B1E/22/28, word_305324/2C; packs CAN frame 0x63 (0x9C83C mov r12,#63h; sub_B31AC); no actuator/setpoint write [C mechanism; monitored channel I]"
0x6AA66,lsu_nernst_temp_model,"lambda/O2 sensor (LSU) Nernst-cell internal-resistance -> temperature signal model: 6x interp (sub_42EA8 32-bit mul helper) over characteristic 0x210A4 (dict 'Nernst cell Ri->temp'), reads LALIO 0x15E52 + MSDPWMAP 0x210AC + Bosch-II map 0x212C6 -> model words word_3050AE/B0/B6/B8/BA/BC/BE/CA/CC + word_305092; state-machine bytes byte_30472A-31; sets status bit word_FD2E.4 (0x6B316); packs CAN frame 0x99 (sub_B31AC); no actuator/PWM write seen [C mechanism; exact sensor bank/role I]"
0xD9EA0,diag_boost_pressure_monitor,"DIAGNOSTIC: boost-pressure (Ladedruck) diagnosis/monitor: reads LD* diag cals FTLDIA/FTLDIAP/LDEIAO/LDEIAP/LDEIAPS/LDEIAU/LDHIA/STLDIA1-4/TLDIAN/CWLDIMX/UMDYLDR (0x1BD1F-0x1BD7D) + LDAMN/LDDIAN/LDDIAP/LDMXNN/LDMXNP/LDRQ0S/TVLDMX (0x2C452-0x2C4DC) + 0x2C100 adj KFLDIWL; uses debounce family sub_32E88 x4/sub_33006 x4/sub_330F2 x3 + lookup sub_419F4 -> fault/state bytes byte_304E17/19/1A + byte_300E46/48/4A/4E/50 (0xDA46A movb byte_300E46,rl6); no actuator/setpoint write [C]"
0x967FE,driveline_antijerk_damper,"CONTROL: anti-jerk / load-change damper (ARMD+dashpot cal family CWARMD/TVKUPAR/TVKUPHS/TVKUPRS/TZSPINI/DSTOFFS/DSTGRAD/KLTDS/VLTEDK): rpm-delta (word_30243C-word_302546)/2 -> word_302AF4, T4-dt scaled filter via sub_430DA -> word_3008A6; per-gear delta-n threshold table DNFILO 0x165DE indexed by gear byte_3014DD clamp 1-7 (0x96B3A mov r9,[r8+#65DEh]); oscillation magnitude word_3008B0 vs word_165A8 gates; disable path bset word_FD54.0/.1 + reload dashpot ctr byte_301651=DSTOFFS, byte_300880=TZSPINI, zero filter history 302AFC/300882-30089C (torque.md 7) [C mechanism; ARMD/dashpot identity I]"
0x5EB80,diag_kwp_localid_capability,"DIAGNOSTIC/comms: KWP2000 local-ID capability helper: jump-table on ID 0x81-0x9A (0x5EB86 cmpb rl4,#19h), reads per-ID cal enable byte 0x1F518-0x1F538, returns item count 5/4/2/1 if enabled else 0; called by KWP service handler sub_5F172 (SID+0x40 response builder) [C]"
0xAF080,diag_obd_denominator_update,"DIAGNOSTIC: OBD in-use-counter general-denominator update (IUMPR-style): engine-run/at-speed/continuous-idle timers from 32-bit T4-tick accumulator word_300B50/52 (quantum 0x1312D via sub_8DD8) vs cal 0x24986-0x2499A; env gates byte_304D30 vs byte_1A1C9 + word_305614 vs word_24986; increments NV counters word_30A298 (denominator 0xAF3C2) / word_30A29A (ign-cycle 0xAF210); per-monitor loop over 24 flag bytes 0xC1:0x9DB + word ctrs 0xC2:0x229C, fault check via sub_BF0E4 [C mechanism; IUMPR identity I]"
0x4EBFE,torque_request_arbiter,"CONTROL: torque-request min/max arbiter in 0x31Dxxx/0x31Exxx torque RAM: clamps word_304F2C vs coordinator setpoint 31E43C -> 31DAC8; below rpm gate byte_12A12*40 vs word_F410 -> bset word_FD1E.9 + default byte_12D63<<8, else min-select 31E5B4/31E5AE/31E5B2 -> 31DAC6, 31DAC4 [C mechanism; arbiter identity I]"
0x64180,measlist_copy_1,"cal-defined RAM-snapshot copy list 1: enables byte_17F69, count byte_17F68 clamp 10, address table 0x17F6A -> buffer 0xA63A page 0xC2, id 5 [C mechanism; DAQ identity I]"
0x641EA,measlist_copy_2,"cal-defined RAM-snapshot copy list 2: byte_17F7F/byte_17F7E clamp 26, table 0x17F80 -> 0xA644 page 0xC2, id 2; called 0xB6C8/0xB812 [C mechanism; DAQ identity I]"
0x64256,measlist_copy_3,"cal-defined RAM-snapshot copy list 3: byte_17FB5/byte_17FB4 clamp 30, table 0x17FB6 -> 0xA65E page 0xC2, id 1 [C mechanism; DAQ identity I]"
0x5E7BE,diag_kwp_localid_resp_len,"DIAGNOSTIC-COMMS: KWP2000 per-local-ID response-length provider, sibling of diag_kwp_localid_capability sub_5EB80: ID-0x81 range 0x19 (0x5E7C0 subb rl4,#81h; 0x5E7C4 cmpb rl4,#19h) jump table 0xC452 (0x5E7D0 add r4,#0C452h); per ID reads enable WORD in 0x1F4B0-0x1F514 (0x5E7DC mov r4,word_1F4B4) -> nonzero returns fixed byte count 2/4/6/0xC/0x14 else 0; sole caller KWP positive-response builder sub_5F172 (0x5F1D8) [C]"
0xC77DE,etc_adapt_sequencer,"ETC stop-learn precondition/sequencer state machine (entered via sub_C77DA from sub_C75C2): temp/condition windows from cfg_14635 band (0xC77F4 cmpb rl4(byte_30163A),byte_14658; 0xC78D2 byte_3015D8 vs byte_14656); drift check (word_16F1A-word_302CB2)*word_302CA2 vs word_302C6C (0xC780C-0xC783A); own state byte_301776 + counter byte_301777 (vs byte_14647/48) + status nibble byte_301778; spring/return checks loc_F45E vs word_302CCA+word_16F3E/40 (0xC79D2/0xC7A2A); abort code byte_301775 (1-9) + word_FD6C.2 -> sub_C7D5E; success arms stop-learn gate word_FD6A.14 (0xC7B66 bset) consumed by etc_stop_learn_adapt sub_C7EEA (etc-throttle.md 3) [C]"
0x57EBA,can_msgobj_reinit,"COMMS: CAN message-object reinit/recovery driver (callers=2): gated by sub_E356A flag, resets CAN controller msg-obj control regs 0xEF00/0xEE00 (bset .6) + 0xEF03/0xEE03 (0x57ECA-0x57F06); per-channel down-counts loc_F526/loc_F526+1, and when <3 calls two cal-held far-code hooks via push-rets trampoline sub_8E52 (r12=#1B08h ch1 word_11B3A/3C, r12=#1B58h ch2 word_11B8A/8C; retry word_11B22/24, word_11B72/74), sets word_30256C|=0x80 on give-up and bit1 of far ptrs word_11B0C/11B5C [C]"
0x30274,ebox_temp_sensor_lin,"CONTROL: E-Box (ECU) temperature-sensor linearization: reads the 'Characteristic line for E-Box temperature sensor' curve (cfg_1D0D8_ebox_curve_count, x@0x1D0DA y@0x1D0FE) via sub_4272A over word_301944/word_303BFE -> byte_30400B (0x302BC movb byte_30400B,rl6), then cmpb vs threshold byte_1805D (0x302C4) [C dict-anchored; over-temp gating role I]"
0x55DCE,t2htrblk_temp_curve,"CONTROL: heater/temperature curve channel: reads T2HTRBLK 6-pt curve (cfg_1F3DC, x@0x1F3DD y@0x1F3E3) via sub_42420 over input byte_304DB0, result<<7 -> word_304F66 (0x55E00 movbz r12,T2HTRBLK; 0x55E1A mov word_304F66,r12); paired earlier curve -> word_304F6A [C; T2HTRBLK identity from inline IDA label, not in dict export]"
0xD35EE,lrl_target_integrator,"CONTROL (load-rl module, beside rl_producer sub_D34DC / sub_D337C): saturating integrator step toward a page-9 word-map target: target = sub_41CC0 lookup (base #3A02h page9 0x27A02, axes word_302CFE + nmot word_F410) -> r9, then sub_43904(gain cfg_27BBE_integrator_gain 0x27BBE, target r9, state word_300DAC/DAE) -> word_300DAC/DAE and page-C1 word_30564E (0xD3632/0xD3640) [C mechanism; integrated quantity I]"
0x4EAA8,pedal_region_bytemap_ch,"CONTROL: reads the byte map at 0x1ED78 (dict 'Map Bosch II 8', pedal region; x/y counts cfg_1ED76) via 2-D byte lookup sub_42544 (x-count byte_1ED76, y-count byte_1ED77) -> byte_304047 (0x4EAD8/0x4EAE8/0x4EAEC) [C; pedal/ETC role I]"
0xA8DC2,diag_obd_monitor_seq,"DIAGNOSTIC: OBD-monitor init/step sequencer (callers=1; 0xA8DC2-0xAA3C4, reads 22 cal maps): large branch machine dispatching to loc_AA3B6 tail, seeds monitor RAM word_300A18/300A22/300A28 from cfg_24310_obdmon_init_words + word_24266 then arms byte_300A74=#14h, calls helper steps sub_A8B02/sub_A8B6E/sub_A8C64 (0xA8DF0/0xA8E7C/0xA8EC4) [C mechanism; specific monitor identity I]"
